#proc cat nGausRV nGausWV
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_40p0_10000p0_hgg_PTH_200p0_350p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_40p0_10000p0_hgg_PTH_200p0_350p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_40p0_10000p0_hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_40p0_10000p0_hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_40p0_10000p0_hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_0p0_45p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_0p0_45p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_0p0_45p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_120p0_350p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_120p0_350p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_120p0_350p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_45p0_120p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_45p0_120p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_350p0_10000p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_45p0_120p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_0p0_45p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_0p0_45p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_0p0_45p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_120p0_350p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_120p0_350p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_120p0_350p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_45p0_120p0_cat0_18 1 2
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_45p0_120p0_cat1_18 1 1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_15p0_25p0_hgg_PTH_45p0_120p0_cat2_18 2 1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_0p0_120p0_cat0_18 1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_0p0_120p0_cat1_18 2 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_0p0_120p0_cat2_18 1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_120p0_350p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_120p0_350p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_120p0_350p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_25p0_40p0_hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_0p0_200p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_0p0_200p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_0p0_200p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_200p0_350p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_200p0_350p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_200p0_350p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_40p0_10000p0_hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_0p0_45p0_cat0_18 2 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_0p0_45p0_cat1_18 2 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_0p0_45p0_cat2_18 2 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_120p0_350p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_120p0_350p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_120p0_350p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_350p0_10000p0_cat0_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_350p0_10000p0_cat1_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_350p0_10000p0_cat2_18 -1 -1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_45p0_120p0_cat0_18 3 1
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_45p0_120p0_cat1_18 2 2
smH_TCJ_m1000p0_15p0_PTH_45p0_120p0 hgg_TCJ_m1000p0_15p0_hgg_PTH_45p0_120p0_cat2_18 2 1
